hoso_1,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
1,670.0,0.0,0.0,13539.0,0.0,0.0,0.0,2398.0,0.0,0,19570,5000
1,1094.0,0.0,0.0,11982.0,0.0,0.0,0.0,3270.0,0.0,0,3500,1500
2,436.0,0.0,0.0,5097.0,0.0,0.0,0.0,710.0,0.0,0,1000,500
4,599.0,0.0,0.0,21079.0,0.0,0.0,0.0,2580.0,0.0,0,1000,24000
5,1080.0,0.0,0.0,13902.0,0.0,0.0,0.0,1850.0,0.0,0,1500,0
6,482.0,0.0,0.0,5885.0,0.0,0.0,0.0,1060.0,0.0,0,150,1880
7,1020.0,0.0,0.0,7506.0,0.0,0.0,0.0,1355.0,0.0,0,1070,0
8,2372.0,0.0,0.0,10835.0,0.0,0.0,0.0,2430.0,0.0,0,200,0
9,685.0,0.0,0.0,11922.0,0.0,0.0,0.0,605.0,0.0,0,0,240
10,390.0,0.0,0.0,13216.0,0.0,0.0,0.0,1909.0,0.0,0,250,6600
11,1714.0,0.0,0.0,20549.0,0.0,0.0,0.0,8120.0,0.0,0,4570,30000
12,1055.0,0.0,0.0,16401.0,0.0,0.0,0.0,3037.0,0.0,0,1000,4725
13,757.0,757.0,0.0,11329.0,11217.0,112.0,0.0,2070.0,2070.0,0,1000,0
14,1931.0,1831.0,100.0,11340.0,11340.0,0.0,0.0,450.0,450.0,0,1500,0
15,1945.0,685.0,1260.0,16200.0,16200.0,0.0,0.0,2270.0,2270.0,0,5800,0
16,245.0,0.0,0.0,13302.0,0.0,0.0,0.0,743.0,0.0,0,150,0
101,1556.0,0.0,0.0,11775.0,0.0,0.0,0.0,5115.0,0.0,0,300,0
102,483.0,0.0,0.0,21420.0,0.0,0.0,0.0,2871.0,0.0,0,500,0
104,673.0,0.0,0.0,11216.0,0.0,0.0,0.0,795.0,0.0,0,200,500
2,387.0,0.0,0.0,8569.0,0.0,0.0,0.0,855.0,0.0,0,2020,0
11,1271.0,0.0,0.0,20673.0,0.0,0.0,0.0,4138.0,0.0,0,7090,0
9,540.0,0.0,0.0,10717.0,0.0,0.0,0.0,2432.0,0.0,0,2290,0
15,949.0,0.0,0.0,15589.0,0.0,0.0,0.0,4185.0,0.0,0,3370,0
8,1006.0,0.0,0.0,16065.0,0.0,0.0,0.0,2823.0,0.0,0,5220,0
5,1410.0,0.0,0.0,22646.0,0.0,0.0,0.0,3445.0,0.0,0,6790,0
12,735.0,0.0,0.0,16100.0,0.0,0.0,0.0,2535.0,0.0,0,2660,0
6,472.0,0.0,0.0,11592.0,0.0,0.0,0.0,1666.0,0.0,0,2100,0
3,689.0,0.0,0.0,10144.0,0.0,0.0,0.0,2175.0,0.0,0,2670,0
7,446.0,0.0,0.0,5551.2,0.0,0.0,0.0,955.0,0.0,0,5500,0
10,560.0,0.0,0.0,10434.0,0.0,0.0,0.0,1886.0,0.0,0,6530,0
14,1052.0,0.0,0.0,17165.0,0.0,0.0,0.0,3795.0,0.0,0,3630,0
16,896.0,0.0,0.0,11671.0,0.0,0.0,0.0,2892.0,0.0,0,3530,0
13,526.0,0.0,0.0,10092.0,0.0,0.0,0.0,2091.0,0.0,0,1240,0
1,523.0,0.0,0.0,13376.0,0.0,0.0,0.0,1053.0,0.0,0,4100,0
1,1809.0,0.0,0.0,13068.0,0.0,0.0,0.0,9220.0,0.0,0,17880,150000
3,429.0,0.0,0.0,6740.0,0.0,0.0,0.0,4767.0,0.0,0,4390,8325
4,789.0,0.0,0.0,18136.0,0.0,0.0,0.0,2270.0,0.0,0,5370,2000
5,202.5,0.0,0.0,8800.5,0.0,0.0,0.0,492.0,0.0,0,2700,0
6,449.5,0.0,0.0,6831.0,0.0,0.0,0.0,2163.0,0.0,0,7785,1560
7,373.0,0.0,0.0,11114.0,0.0,0.0,0.0,1450.0,0.0,0,750,0
8,616.0,0.0,0.0,12105.0,0.0,0.0,0.0,2200.0,0.0,0,1585,0
9,346.0,0.0,0.0,7412.0,0.0,0.0,0.0,475.0,0.0,0,1030,1360
10,1126.0,0.0,0.0,21344.0,0.0,0.0,0.0,4555.0,0.0,0,2790,0
11,648.0,0.0,0.0,5858.0,0.0,0.0,0.0,4587.0,0.0,0,7190,2720
12,1004.0,0.0,0.0,18274.0,0.0,0.0,0.0,3048.0,0.0,0,6370,100
16,1593.0,0.0,0.0,20301.0,0.0,0.0,0.0,4906.0,0.0,0,27830,0
102,411.0,0.0,0.0,8042.0,0.0,0.0,0.0,1345.0,0.0,0,550,0
103,492.0,0.0,0.0,3896.0,0.0,0.0,0.0,2130.0,0.0,0,7140,0
104,291.5,0.0,0.0,5956.0,0.0,0.0,0.0,885.0,0.0,0,4200,0
14,891.5,891.5,0.0,23406.0,11790.0,11616.0,1200.0,5304.0,5304.0,0,6700,2880
15,1102.0,1102.0,0.0,19070.0,15150.0,3920.0,0.0,2955.0,2955.0,0,2170,70
19,565.0,565.0,0.0,10147.0,7049.0,3098.0,0.0,2325.0,2325.0,0,5950,0
103,1541.0,0.0,0.0,23076.0,0.0,0.0,0.0,6475.0,0.0,0,5500,0
102,479.0,0.0,0.0,10504.0,0.0,0.0,0.0,3405.0,0.0,0,2000,5000
101,726.0,0.0,0.0,16276.0,0.0,0.0,0.0,3040.0,0.0,0,1200,0
10,675.0,0.0,0.0,43016.0,0.0,0.0,0.0,1985.0,0.0,0,350,0
3,1226.0,0.0,0.0,12957.0,0.0,0.0,0.0,3100.0,0.0,0,3000,1100
6,321.0,0.0,0.0,7683.0,0.0,0.0,0.0,2658.0,0.0,0,1600,98
2,420.0,0.0,0.0,15606.0,0.0,0.0,0.0,830.0,0.0,0,0,0
9,422.0,0.0,0.0,8740.0,0.0,0.0,0.0,1603.0,0.0,0,1800,3200
17,1108.0,0.0,0.0,36214.0,0.0,0.0,0.0,9160.0,0.0,0,2694,4700
8,100.0,0.0,0.0,9238.0,0.0,0.0,0.0,459.0,0.0,0,320,0
11,746.0,0.0,0.0,18492.0,0.0,0.0,0.0,3010.0,0.0,0,1195,96100
5,65.0,0.0,0.0,2918.0,0.0,0.0,0.0,1114.0,0.0,0,1000,0
12,2071.0,0.0,0.0,53338.0,0.0,0.0,0.0,15840.0,0.0,0,3400,8890
14,981.0,713.0,268.0,16667.0,16622.0,45.0,0.0,3880.0,3880.0,0,8060,1300
15,501.0,421.0,80.0,13110.0,9510.0,3600.0,360.0,3456.0,3456.0,0,2345,3567
13,2220.0,790.0,1430.0,25958.0,20613.0,5345.0,0.0,1410.0,1010.0,400,2000,0
7,172.0,0.0,0.0,7511.0,0.0,0.0,0.0,3147.0,0.0,0,500,0
1,390.0,0.0,0.0,15503.0,0.0,0.0,0.0,8350.0,0.0,0,26000,75
1,706.0,0.0,0.0,6208.0,0.0,0.0,0.0,2712.0,0.0,0,2000,9000
2,138.0,0.0,0.0,7318.0,0.0,0.0,0.0,1675.0,0.0,0,251,500
4,533.0,0.0,0.0,2964.0,0.0,0.0,0.0,4220.0,0.0,0,7100,0
5,74.0,0.0,0.0,6235.0,0.0,0.0,0.0,639.0,0.0,0,230,20000
6,733.0,0.0,0.0,14850.0,0.0,0.0,0.0,2282.0,0.0,0,1240,5600
9,1033.0,0.0,0.0,3698.0,0.0,0.0,0.0,2353.0,0.0,0,3820,7183
10,1036.0,0.0,0.0,5033.0,0.0,0.0,0.0,1453.0,0.0,0,1020,21500
11,300.0,0.0,0.0,4153.0,0.0,0.0,0.0,185.0,0.0,0,10,468
12,934.0,0.0,0.0,11272.0,0.0,0.0,0.0,4138.0,0.0,0,3020,54000
14,163.0,73.0,90.0,7375.0,3008.0,4367.0,620.0,187.0,187.0,0,500,0
15,447.0,393.0,54.0,11878.0,7408.0,4470.0,1440.0,1785.0,1735.0,50,1020,0
17,602.0,0.0,0.0,3518.0,0.0,0.0,0.0,1390.0,0.0,0,1030,0
18,1629.0,0.0,0.0,9194.0,0.0,0.0,0.0,2775.0,0.0,0,1050,8250
19,1320.0,720.0,600.0,12960.0,6040.0,6920.0,1200.0,3379.0,3379.0,0,4050,1842
101,813.0,0.0,0.0,19403.0,0.0,0.0,0.0,4880.0,0.0,0,1000,12000
103,410.0,0.0,0.0,11018.0,0.0,0.0,0.0,1982.0,0.0,0,2040,3000
105,1133.0,0.0,0.0,29849.0,0.0,0.0,0.0,1669.0,0.0,0,3210,25000
8,286.5,0.0,0.0,15894.0,0.0,0.0,0.0,2140.0,0.0,0,100,0
2,793.0,0.0,0.0,8780.0,0.0,0.0,0.0,7640.0,0.0,0,2030,4800
1,1630.0,0.0,0.0,13333.0,0.0,0.0,0.0,5600.0,0.0,0,5000,0
3,803.0,0.0,0.0,4962.0,0.0,0.0,0.0,1144.0,0.0,0,2000,0
4,1183.0,0.0,0.0,13246.0,0.0,0.0,0.0,3315.0,0.0,0,8010,7300
6,742.0,0.0,0.0,13170.0,0.0,0.0,0.0,3160.0,0.0,0,2250,0
8,646.0,0.0,0.0,9516.0,0.0,0.0,0.0,1602.0,0.0,0,3500,0
9,403.0,0.0,0.0,12629.0,0.0,0.0,0.0,1510.0,0.0,0,600,0
10,910.0,0.0,0.0,14462.0,0.0,0.0,0.0,3755.0,0.0,0,4000,3000
11,3154.0,0.0,0.0,20826.0,0.0,0.0,0.0,4400.0,0.0,0,7910,0
12,1162.0,0.0,0.0,10961.2,0.0,0.0,0.0,1805.0,0.0,0,5550,0
13,1685.0,0.0,0.0,11795.0,0.0,0.0,0.0,5435.0,0.0,0,6050,0
14,577.0,0.0,0.0,6010.0,0.0,0.0,0.0,1860.0,0.0,0,2000,0
15,235.0,0.0,0.0,7558.0,0.0,0.0,0.0,557.0,0.0,0,1000,0
17,1240.0,0.0,0.0,9919.0,0.0,0.0,0.0,2550.0,0.0,0,2000,0
19,1491.0,0.0,0.0,17676.0,0.0,0.0,0.0,2590.0,0.0,0,2075,5000
102,468.0,0.0,0.0,8868.0,0.0,0.0,0.0,1675.0,0.0,0,4050,0
105,1480.0,0.0,0.0,9013.0,0.0,0.0,0.0,5474.0,0.0,0,3660,5760
101,552.0,0.0,0.0,10247.0,0.0,0.0,0.0,2230.0,0.0,0,1500,3000
15,801.0,651.0,150.0,9078.0,7378.0,1700.0,0.0,1300.0,1100.0,200,1000,0
14,1136.0,896.0,240.0,11283.0,9177.0,2106.0,0.0,1860.0,1660.0,200,3610,3120
13,4789.0,4289.0,500.0,21302.0,19502.0,1800.0,300.0,4435.0,4135.0,300,8200,0
2,592.0,0.0,0.0,12308.0,0.0,0.0,0.0,1670.0,0.0,0,19050,3900
8,414.0,0.0,0.0,5939.0,0.0,0.0,0.0,160.0,0.0,0,806,0
1,1360.0,0.0,0.0,4904.0,0.0,0.0,0.0,2280.0,0.0,0,4050,0
3,2700.0,0.0,0.0,9408.0,0.0,0.0,0.0,5360.0,0.0,0,2050,16000
7,709.0,0.0,0.0,3665.0,0.0,0.0,0.0,1420.0,0.0,0,5000,5772
9,1126.0,0.0,0.0,5129.0,0.0,0.0,0.0,3887.0,0.0,0,2100,8600
